date,URL,user,title,hashicorp
2023-09-09T10:29:46Z,https://github.com/hashicorp/terraform/pull/33856,joaocc,nonsensitive: no longer produces error when applied to nonsensitive values,N
2023-09-09T06:06:26Z,https://github.com/hashicorp/terraform/pull/33855,teamterraform,Backport of Explicitely disallow duplicate run block names in test files into v1.6,Y
2023-09-09T05:49:13Z,https://github.com/hashicorp/terraform/pull/33854,teamterraform,Backport of Reserve state and plan keywords in test files into v1.6,Y
2023-09-08T22:51:18Z,https://github.com/hashicorp/terraform/pull/33853,teamterraform,Backport of backend/s3: Improves bare error messages from API responses into v1.6,Y
2023-09-08T20:32:58Z,https://github.com/hashicorp/terraform/pull/33852,teamterraform,Backport of backend/s3: Restore HTTP request/response logging into v1.6,Y
2023-09-08T19:37:27Z,https://github.com/hashicorp/terraform/pull/33851,gdavison,backend/s3: Improves bare error messages from API responses,Y
2023-09-08T19:00:40Z,https://github.com/hashicorp/terraform/pull/33850,gdavison,backend/s3: Restore HTTP request/response logging,Y
2023-09-08T17:58:10Z,https://github.com/hashicorp/terraform/pull/33849,teamterraform,Backport of Make the test command fail if resources could not be cleaned up into v1.6,Y
2023-09-08T17:45:21Z,https://github.com/hashicorp/terraform/pull/33848,teamterraform,Backport of Refactor file and run block feedback frequency into v1.6,Y
2023-09-08T08:44:18Z,https://github.com/hashicorp/terraform/pull/33846,liamcervante,Reserve state and plan keywords in test files,Y
2023-09-07T20:47:33Z,https://github.com/hashicorp/terraform/pull/33844,brandonc,cloud: don't update snapshot interval unless response is from tfe.v2,Y
2023-09-07T20:40:02Z,https://github.com/hashicorp/terraform/pull/33843,teamterraform,Backport of backend/s3: Use Transfer Managers to speed up transfers of large state files into v1.6,Y
2023-09-07T19:34:39Z,https://github.com/hashicorp/terraform/pull/33842,gdavison,Adds logging for `aws-sdk-go-base`,Y
2023-09-07T19:29:10Z,https://github.com/hashicorp/terraform/pull/33841,gdavison,backend/s3: Adds tests for endpoint overrides and adds validation for parameters,Y
2023-09-07T19:05:10Z,https://github.com/hashicorp/terraform/pull/33840,liamcervante,Refactor file and run block feedback frequency,Y
2023-09-07T18:42:28Z,https://github.com/hashicorp/terraform/pull/33839,gdavison,backend/s3: Use Transfer Managers to speed up transfers of large state files,Y
2023-09-07T14:50:26Z,https://github.com/hashicorp/terraform/pull/33836,liamcervante,Explicitely disallow duplicate run block names in test files,Y
2023-09-07T14:23:26Z,https://github.com/hashicorp/terraform/pull/33835,teamterraform,Backport of cloud: state snapshots always enabled despite missing header x-terraform-snapshot-interval into v1.6,Y
2023-09-07T14:23:21Z,https://github.com/hashicorp/terraform/pull/33834,teamterraform,Backport of cloud: state snapshots always enabled despite missing header x-terraform-snapshot-interval into v1.5,Y
2023-09-07T14:21:50Z,https://github.com/hashicorp/terraform/pull/33833,teamterraform,Backport of backend/s3: add allowed/forbidden account ID parameters into v1.6,Y
2023-09-07T13:56:44Z,https://github.com/hashicorp/terraform/pull/33832,jbardin,v1.5 backport of 33821,Y
2023-09-07T13:56:01Z,https://github.com/hashicorp/terraform/pull/33831,jbardin,v1.6 backport of 33821,Y
2023-09-07T10:27:12Z,https://github.com/hashicorp/terraform/pull/33830,kmoe,build with Go 1.21.1,Y
2023-09-06T19:48:40Z,https://github.com/hashicorp/terraform/pull/33825,gdavison,backend/s3: Adds logging for `aws-sdk-go-base`,Y
2023-09-06T19:15:53Z,https://github.com/hashicorp/terraform/pull/33824,jbardin,v1.6 backport of #33132,Y
2023-09-06T18:38:12Z,https://github.com/hashicorp/terraform/pull/33823,jbardin,v1.6 backport of #33807,Y
2023-09-06T18:35:00Z,https://github.com/hashicorp/terraform/pull/33822,gdavison,backend/s3: Adds tests for endpoint overrides and adds validation for parameters,Y
2023-09-06T18:22:08Z,https://github.com/hashicorp/terraform/pull/33821,jbardin,re-clarify types documentation,Y
2023-09-06T17:15:36Z,https://github.com/hashicorp/terraform/pull/33820,brandonc,cloud: state snapshots always enabled despite missing header x-terraform-snapshot-interval,Y
2023-09-06T16:28:23Z,https://github.com/hashicorp/terraform/pull/33819,alisdair,statefile: Ignore unknown check results on decode,Y
2023-09-06T16:27:15Z,https://github.com/hashicorp/terraform/pull/33818,alisdair,statefile: Ignore unknown check results on decode,Y
2023-09-06T15:14:20Z,https://github.com/hashicorp/terraform/pull/33816,mesrikanthreddy,Update README.md,N
2023-09-06T14:52:28Z,https://github.com/hashicorp/terraform/pull/33815,alisdair,statefile: Ignore unknown check results on decode,Y
2023-09-06T14:28:14Z,https://github.com/hashicorp/terraform/pull/33814,alisdair,statefile: Ignore unknown check results on decode,Y
2023-09-06T14:27:16Z,https://github.com/hashicorp/terraform/pull/33813,alisdair,statefile: Ignore unknown check results on decode,Y
2023-09-06T14:25:04Z,https://github.com/hashicorp/terraform/pull/33812,alisdair,release: Backport release tools,Y
2023-09-06T10:58:45Z,https://github.com/hashicorp/terraform/pull/33809,liamcervante,Make the test command fail if resources could not be cleaned up,Y
2023-09-05T22:08:13Z,https://github.com/hashicorp/terraform/pull/33807,jbardin,move `GetProviderSchemaOptional` check to correct block,Y
2023-09-05T20:53:29Z,https://github.com/hashicorp/terraform/pull/33805,jar-b,backend/s3: add allowed/forbidden account ID parameters,Y
2023-09-05T19:31:19Z,https://github.com/hashicorp/terraform/pull/33804,jar-b,backend/s3: fix assume_role_with_web_identity env var handling,Y
2023-09-04T09:05:14Z,https://github.com/hashicorp/terraform/pull/33792,koitsu,Update index.mdx,N
2023-09-01T21:52:57Z,https://github.com/hashicorp/terraform/pull/33789,teamterraform,Backport of clarify types and link to Type Constraints pagedit types into v1.5,Y
2023-09-01T14:55:29Z,https://github.com/hashicorp/terraform/pull/33783,teamterraform,Backport of Handle null outputs in Terraform test files into v1.6,Y
2023-09-01T13:59:22Z,https://github.com/hashicorp/terraform/pull/33781,liamcervante,Handle null outputs in Terraform test files,Y
2023-08-31T19:44:25Z,https://github.com/hashicorp/terraform/pull/33778,Varriount,Mention shell injection in local provisioner documentation,N
2023-08-31T18:15:28Z,https://github.com/hashicorp/terraform/pull/33777,teamterraform,Backport of Ignore remote version conflict for force-unlock into v1.6,Y
2023-08-31T17:57:42Z,https://github.com/hashicorp/terraform/pull/33776,teamterraform,Backport of backend/s3(docs): expand access control examples into v1.6,Y
2023-08-31T17:38:01Z,https://github.com/hashicorp/terraform/pull/33775,brandonc,cloud: State upload verification and timeout,Y
2023-08-31T08:48:07Z,https://github.com/hashicorp/terraform/pull/33774,kmoe,website: update docs for import block dynamic ids,Y
2023-08-30T20:39:57Z,https://github.com/hashicorp/terraform/pull/33771,jar-b,backend/s3(docs): expand access control examples,Y
2023-08-30T16:46:40Z,https://github.com/hashicorp/terraform/pull/33769,kmoe,v1.5 backport of initwd: require valid module name,Y
2023-08-30T12:58:31Z,https://github.com/hashicorp/terraform/pull/33768,bflad,internal/plugin+internal/plugin6: Fix provider schema caching,Y
2023-08-29T20:10:15Z,https://github.com/hashicorp/terraform/pull/33765,jar-b,backend/s3: Parity with the AWS provider configuration options,Y
2023-08-29T20:00:10Z,https://github.com/hashicorp/terraform/pull/33764,crw,Update CONTRIBUTING.md,Y
2023-08-28T15:16:58Z,https://github.com/hashicorp/terraform/pull/33760,liamcervante,Terraform test directory must be local to the config directory,Y
2023-08-25T19:48:43Z,https://github.com/hashicorp/terraform/pull/33758,jbardin,Update HCL,Y
2023-08-25T11:58:54Z,https://github.com/hashicorp/terraform/pull/33755,liamcervante,Embed the schemas directly in the testing framework JSON verbose outputs,Y
2023-08-25T02:16:47Z,https://github.com/hashicorp/terraform/pull/33749,jar-b,backend/s3: add sts_region argument,Y
2023-08-25T02:13:10Z,https://github.com/hashicorp/terraform/pull/33748,jar-b,backend/s3: add http_proxy and related arguments,Y
